StoreNumber,Post PSPD,App PSPD,Pre ACTs PSPD,Pre Units PSPD,ACC$PSPD,Install Retail,Total Protect Rate
1139,5.63,7.38,3.75,4.25,$202,$304,4.76%
702,2.75,4.00,1.88,2.00,$158,$175,13.16%
1189,2.38,3.50,0.50,0.63,$44,$90,0.00%
1048,2.25,6.00,1.88,3.63,$152,$123,4.26%
1140,2.25,4.13,1.50,1.63,$110,$96,3.23%
719,2.00,5.38,3.38,4.63,$290,$91,0.00%
2628,1.25,2.38,1.50,3.13,$175,$92,0.00%
689,1.13,2.63,2.50,2.88,$65,$197,0.00%
1113,1.13,3.13,1.63,4.25,$140,$205,6.98%
1190,1.13,5.25,3.00,3.88,$97,$262,0.00%
1210,0.88,2.88,2.00,4.25,$184,$93,0.00%
1259,0.88,3.75,1.88,4.13,$79,$96,0.00%
493,0.75,2.75,2.38,3.50,$67,$425,0.00%
571,0.63,2.13,0.63,1.75,$83,$182,0.00%
720,0.63,1.88,0.75,2.00,$35,$310,0.00%
591,0.50,1.63,0.38,1.00,$11,$76,0.00%
3894,0.50,2.25,1.13,3.13,$146,$118,0.00%
692,0.38,2.13,1.88,1.75,$46,$77,0.00%
825,0.25,1.00,1.38,2.75,$47,$240,0.00%
519,0.13,1.25,0.88,1.88,$18,$78,0.00%
