StoreNumber,Post ACTs,Pre ACTs PSPD,Pre Units PSPD,ACC$PSPD,Total Protect Rate
1139,29,3.75,4.25,$202,4.76%
702,22,1.88,2.00,$158,13.16%
1189,19,0.50,0.63,$44,0.00%
1048,18,1.88,3.63,$152,4.26%
1140,18,1.50,1.63,$110,3.23%
719,16,3.38,4.63,$290,0.00%
2628,10,1.50,3.13,$175,0.00%
689,9,2.50,2.88,$65,0.00%
1113,9,1.63,4.25,$140,6.98%
1190,9,3.00,3.88,$97,0.00%
1210,7,2.00,4.25,$184,0.00%
1259,7,1.88,4.13,$79,0.00%
493,6,2.38,3.50,$67,0.00%
571,5,0.63,1.75,$83,0.00%
720,5,0.75,2.00,$85,0.00%
591,4,0.38,1.00,$11,0.00%
3894,4,1.13,3.13,$146,0.00%
692,3,1.88,1.75,$46,0.00%
825,2,1.38,2.75,$47,0.00%
519,1,0.88,0.88,$25,0.00%
